,username,no_review,review_list,no_product,product_dict,mean_rating
10382,s*****u,2,"[nan, 'Works well, easy to sync to phone and comfortable']",2,"{'54e03d11-608c-42f0-8649-ede70de6e4e3': 1, '5eb6d067-706a-41fe-856f-1d1cca8ca1e6': 1}",5.0
10383,s*****v,2,"['Good quality and fast delivery. Highly recommended and will definitely purchase again.', nan]",2,"{'6cee19d7-8c5b-4a2e-999f-b301c7837092': 1, 'f0ecb02d-1184-470b-bbcc-e972312db0d4': 1}",5.0
10384,s*****w,6,"['Performance: good\nBest Feature(s): can fold\nValue For Money: yes\nworth for the price it is, audio is good too would buy again', 'Yet to try but came super fast. Very value for money. Good for gaming and speaking to clients.', 'Great headphones, fast delivery, good sound.', nan, 'Ordered on 25 Aug, received via Singpost on 2 Sep.  Item well packaged in ziplockd bag. Cover looks good and not too thick. Got it at flash sale for 10cts. Great deal and thanks seller for the useful cable protector gifts!', nan]",5,"{'00ca38b7-8d71-4a14-8ff3-2e3502c740d3': 1, '33cfcddf-a606-4d60-8d78-5926aee333ac': 1, '34bb8bfe-e134-41af-a487-3b8d4ce6fff0': 1, '9adcc0d2-9560-441f-a7d3-a6e031a86ec8': 1, 'bc081a6b-f6d4-4c77-bb49-7dfdae30c3aa': 2}",5.0
10385,s*****x,2,"[nan, nan]",2,"{'6cee19d7-8c5b-4a2e-999f-b301c7837092': 1, '912d838b-5e84-4aef-a0dd-bb23f44e5913': 1}",5.0
10386,s*****y,21,"['Performance: decent\nBest Feature(s): aesthetic asf\nValue For Money: duh\nits aesthetic lol, i love beige sm im gna decorate it with stickers 😮\u200d💨😮\u200d💨', 'Performance: good\nBest Feature(s): microphone\nValue For Money: yes\nBeen pondering whether to buy. Finally bought it on 9.9 sales and got it on 12 Sep. No regrets in buying this. Voice is very clear and hands-free microphone is what I need when having meetings. Will recommend my friends n colleagues to buy.', 'Fast delivery. Humidifier good. Headset works well when connected via usb. However, speaker is very soft if the 3.5mm jack is used.', 'Performance: Satisfactory\nBest Feature(s): Bluetooth 5.0\nValue For Money: Definitely\nItem received promptly. Tried and tested the Bluetooth connectivity on several phones and tabs are straight forward and flawless. Sound quality is acceptable for this price.', 'Performance: GREAT\nBest Feature(s): delivery\nValue For Money: yea\nBought it on 2.2 and received it the next day! Kudos to the seller for this fast delivery! Bought 5 different colours for an event and all came in good condition! No dents, no damages!', 'Bundle purchase with pouch but pouch too small will not fit the headphone.', 'Value For Money: superb\nPerformance: decent bass\nBest Feature(s): lightweight\nFor the price, it is beyond expectation! Tho slightly flimsy but the sound quality + it being wireless over writes it! Lightweight but if you have have a big head, your ears will start to ache in abit. Something to take note of! Otherwise if you can get it during sales then it’s a bonus.\n\nOh and if you’re gifting this to someone, take note there might be stain on the box like mine-', 'Performance: Received but did not try yet\nBest Feature(s): Cheap\nValue For Money: Yes\nSeller send the wrong version, ordered the black and red buy received black and grey. Suppose to match the Thinkpad look, so 1 star less.', nan, nan, 'Performance: ok\nBest Feature(s): none\nValue For Money: no\nQuality cannot be compared to original. Black is original blue is not. At this price, no complain.', nan, 'Sound quality is good. Fast delivery,received within 2 days from payment.', 'Performance: good\nBest Feature(s): nice colours\nValue For Money: yes\nThe sound when connected to a pc was not as loud as I expected, but overall the quality of the sound is okay.', 'Fast Delivery  !!!\nItem arrived within 3 days !!!\nWill try out headset soon', nan, 'Product arrived in a timely manner and it corresponds to the description given', 'Best Feature(s): good\nValue For Money: good\nPerformance: good', 'Arrive relatively fast. Good and steady. Great tonput on desktop. Protect the headphones.', nan, nan]",13,"{'0562b9b3-df23-4197-ac9f-be7bb2e53b75': 1, '15eecb2b-4a23-4b78-be6c-38eadfa1be51': 2, '34bb8bfe-e134-41af-a487-3b8d4ce6fff0': 1, '58b2475a-2ba2-4404-b9b5-35a633c76462': 2, '5fd55bd6-066b-4b5c-a931-655bf8fbc095': 2, '7775f8a3-b5b8-485f-8a37-9c96d160fae7': 1, '86cafb8f-5c07-4819-8a58-1a81b3bf912f': 3, 'aeb0e8bf-1deb-480f-a6ba-287efc2e33b9': 4, 'c9c4c3aa-db70-4bcc-8357-4bf97ed89f4b': 1, 'cd6c11d7-d842-4a56-b3ec-f8b76aff86b8': 1, 'dfe4564a-2cf5-4024-84a6-082f1ca8aa25': 1, 'e1366b54-47df-429c-b19e-c2173ac35fe7': 1, 'e7088fc8-7558-4c6f-9e97-73084cb1712f': 1}",4.809523809523809
10387,s*****z,4,"['Performance: bad\nValue For Money: ok\nBest Feature(s): bad\nNot good at all, by using ps4 controller. Ps4 controller theres no USB so without usb, theres no any RGB light. Not recommended for Playstation user', nan, 'Fast delivery.. Came 3 days after ordering. Thanks for the free keychains. Sound of the headphones is awesome. Superb great. My son is happy. Thanks seller.', nan]",4,"{'363c5275-c823-4331-ab39-bfdfe5242609': 1, '4718d2a4-f0a4-48cd-a0ce-e1b663bdba02': 1, '665ce6c0-f144-44e9-9e71-f1d8cf28cfcc': 1, 'b3941fff-f975-426c-bda0-76ebc92360d1': 1}",4.0
10388,s.leigh.glover,1,['Performance: Just meh\nIt looks used and dirty ish.'],1,{'4718d2a4-f0a4-48cd-a0ce-e1b663bdba02': 1},1.0
10389,s.mohd_amir,1,[nan],1,{'bc081a6b-f6d4-4c77-bb49-7dfdae30c3aa': 1},5.0
10390,s.z._corp,1,[nan],1,{'cd6c11d7-d842-4a56-b3ec-f8b76aff86b8': 1},1.0
10391,s071262,1,['Ordered received. Looks good. Will try the quality soon. Thanks'],1,{'6cee19d7-8c5b-4a2e-999f-b301c7837092': 1},5.0
10392,s0zi5udk6k,1,"['Very beautiful, great sound quality, loved it.']",1,{'b14fb80e-204a-4007-8a22-8d467f9cbc36': 1},5.0
10393,s1fltprz38,1,[nan],1,{'f0ecb02d-1184-470b-bbcc-e972312db0d4': 1},5.0
10394,s2fq8gye2d,1,"['very cute, convenient and the sound is surprisingly good for its price!']",1,{'54e03d11-608c-42f0-8649-ede70de6e4e3': 1},5.0
10395,s38ft9arid,1,[nan],1,{'cd6c11d7-d842-4a56-b3ec-f8b76aff86b8': 1},5.0
10396,s4jep8_41y,1,['A good earphone. All in working order. Happy with my purchase'],1,{'b5f3f2c3-b956-4425-b7cc-be3096221401': 1},5.0
10397,s4wzcu75z7,1,[nan],1,{'b14fb80e-204a-4007-8a22-8d467f9cbc36': 1},4.0
10398,s62ayuhzjp,1,[nan],1,{'bc081a6b-f6d4-4c77-bb49-7dfdae30c3aa': 1},5.0
10399,s6wks75eks,1,['Good'],1,{'6cee19d7-8c5b-4a2e-999f-b301c7837092': 1},5.0
10400,s74g6yabqe,1,[nan],1,{'aeb0e8bf-1deb-480f-a6ba-287efc2e33b9': 1},5.0
10401,s7726073j,1,[nan],1,{'58b2475a-2ba2-4404-b9b5-35a633c76462': 1},5.0
