product_id,category,merchant_id,name,preferred,mall,avg_rating,total_rating,total_sold,price,qty_avail,fav_count,img_src,description
912d838b-5e84-4aef-a0dd-bb23f44e5913,headphone,983b8576-0dd8-4c84-acdf-0915734adbd0,SPRISE Premium Wireless Bluetooth Earphone Colorful Headphone Foldable Headset Gaming With Mic 蓝牙耳机,1,0,4.6,256,840,$17.39 - $18.78,459 pieces available,Favorite (1.1k),https://down-sg.img.susercontent.com/file/my-11134201-23020-0s5oayv2vvnv31_tn,"Hey~ Welcome to SPRISE Official Store! Please read the product description clearly, choose u need. All items are in stocks! Please enjoy~  
 ❥Specifications: 1. Name: SPRISE DR58 2. Color: Dolomite White/Athens Black/Tender Pink 3. Weights: 275g 4. Bluetooth Version: 5.0 5. Communication distance: 10m 6. Talking time: 12 hours 7. Charging time: 3-4 hours 8. Suitable for: Android, iOS, macOS and windows system 
 ❥Features : 1. HIFI advanced sound quality brings a live music experience like in person; with skin-friendly breathable earmuffs, comfortable to wear without pressure on the ears. 2. Foldable design, easy to carry; preferred metal material, resistant to pressure and violence. 3. The Bluetooth headset plays games with ultra-low latency, waterproof and sweatproof, with an audio cable to bring you the ultimate good life experience. 
 ❥Product List： 1* Bluetooth headphone  1* Type-C Charging cable  1* Audio cable 1* User Manual 
 Note: Don't use more than 1.5 A charging head charge 
 
 #earphone #headphone #earphone gaming #headset #headphone bluetooth #gaming headset #headphones #headphone gaming wireless #bluetooth headset #wireless headphones #cute headphone #headsets #bluetooth headphone with mic #over ear headphones #wired headphone #studio headphone #headphone bass"
34bb8bfe-e134-41af-a487-3b8d4ce6fff0,headphone,6e3b6c48-c873-44ac-b99a-845f35a30cf7,Rock Space [SG] O2 Wireless Headphone Bluetooth Foldable Headset with Built-in Microphone,1,0,4.9,369,955,$35.80,164 pieces available,Favorite (1.8k),https://down-sg.img.susercontent.com/file/sg-11134207-7qve8-ljw8gfwgdceqd0_tn,"SKU: 2856 Name: Rock Space 02 Wireless Headphones 
 Enjoy the melody with all-day comfort with these light and fashionable headphones. Ergonomically designed with a foldable design for superior comfort, these Bluetooth headphones with a 400mAh battery capacity gives you 15 hours of play for a 2-hour charge. 
 FEATURE • Foldable and compact • Bluetooth version： Bluetooth V5.0 • Working distance： Appr. 10m  • Frequency response：20Hz-20kHz  • MIC Sensitivity：-38±3dB  • Charging time Appr. 2hrs  • Material Aluminum Alloy, ABS, PU • Music time: 15 hours • Battery capacity: 400mAh  • Weight: 187g 
 What's inside the box? • Headphone • Aux cable  • Charging cable • User Manual 
 TAKE NOTE⚠️ THIS HEADPHONES ARE NOT COMPATIBLE WITH APPLE MACBOOK."
35ff0f3c-8a06-4e33-a789-319ff793220d,headphone,90f139bf-4bb4-4f5c-8511-f99ede1d71b2,Edifier W820NB/W820NB PLUS Wireless Headphone Bluetooth V5.0 Noise Cancelling Headphones Hi-Res Audio 40mm Type-C Fast Charge Hybrid ANC ENC LDAC Ambient Sound Noise Cancellation headphone with mic,1,0,4.8,88,259,$79.99 - $99.00,329 pieces available,Favorite (466),https://down-sg.img.susercontent.com/file/cn-11134207-7r98o-lmlg9jzclx5ud7_tn,"EDIFIER W820NB PLUS NOISE CANCELING ACTIVE NOISE CANCELLING SUPPORTS LDAC-IVORY 
 ⭐ Features 
 Lightweight in-ear design, comfortable to wear for a long time 
 • Supports Hi-Res high-definition sound quality, music sounds more beautiful. 
 • Supports ambient sound recognition. Make traveling safer and more confident. 
 • Deep neural network call noise reduction technology. clear call 
 • Support active noise reduction technology. Enjoy the mellow sound 
 • Titanium plated composite diaphragm large unit. enjoy the sounds of nature 
 • Game mode, low latency listening. and location recognition one step faster 
 • Long battery life 49H, use longer and keep having fun. 
 ⭐ Product details 
 An upgraded version of the Edifier W820NB. 
 LDAC compatible, listen to high resolution music wirelessly. (Only supported devices) 
 Noise cancellation mode Active Noise Canceling is quieter than the price. 
 Ambient Sound suction mode 
 Sound EQ can be adjusted in the Edifier Connect application (iOS & Android). 
 Supports Game Mode, can be used to play games 
 Connect with Bluetooth 5.2 
 Listen to music continuously for up to 33 - 49 hours (depending on usage). 
 There is a fast charging system, charging for 10 minutes, listening to music for up to 7 hours."
33cfcddf-a606-4d60-8d78-5926aee333ac,headphone,39d81d01-8cf5-4ddb-919d-7fd293d92de2,SPRISE Stereo USB Headset Rotating Mic Earphone Noise Cancelling 3.5mm&USB Jack Multi-device Headphone With Adjustable Headband/Mic,1,0,4.9,60,142,$12.85 - $13.90,58 pieces available,Favorite (81),,"Hey~ Welcome to SPRISE Official Store! Please read the product description clearly, choose u need. All items are in stocks! Please enjoy~  
 Specifications:  1. Name: SPRISE E-H6208  2. Typer: 3.5MM Jack (For Phone)/USB Jack (For Computer)  3. Weights: 220g  4. Headset type: Voice headset  5. Microphone type: Unidirectional  6. Speaker diameter：Ø40mm  7. Input Impedance: 32Ω  8. Sensitivity (headphone): 100 dB +/-3 dB Sensitivity (mic): -42dB±3db  9. Frequency response (Mic): 100Hz-10kHz Frequency response (earphone): 20Hz-20kHz  10. Cable length: 2 m  11. Wire interface (main wire interface): PVC 3.0*2M double plug wire  
 Features :  1. The voice wired headset can noise reduction calls, hear every word clearly, easy and efficient office calls / training meetings / network teaching.  2. 180 ° rotatable microphone can be worn on the left or right. Flexible mic can be positioned for better voice capture and background noise reduction.  3. -The 【3.5MM Jack 】is compatible with most operating systems and platforms and works with most devices with a 3.5mm connector such as cell phones. 【USB Jack】 For USB ports on computers or other devices, compatible with most operating systems and platforms. 4. The headset is retractable /stretchable+HD stereo sound, with soft skin-friendly ear cups, allowing you to easily enjoy clear audio for music, games and calls.   Product List： 1* Voice headphone  1* User Manual"
58b2475a-2ba2-4404-b9b5-35a633c76462,headphone,355137ee-5cdc-46f9-a573-c4e6a6cbe5f5,USB PC Headset Conference Call with Noise Cancelling Wired Headphones,1,0,4.9,1.6k,5.1k,$18.50,478 pieces available,Favorite (1.5k),,"Headset Key Features: ✅  High Quality Stereo Sound (even for Audio Playback) ✅  Noise Cancelling Microphone Perfect for Conference Call ✅  Plug and Play. Easy to Setup ✅  Volume Control Access Board ✅  One-Touch Microphone Mute/ Unmute ✅  One-Touch Headset Mute/ Unmute ✅  300° Rotatable Microphone Arm ✅  Soft & Comfortable Ear Cushions ✅  Adjustable Size for Headband  ✅  System Compatibility with Windows Vista, Windows 7, Windows 8, Windows 10, Android, IOS and other systems ✅  Universal USB interface  ✅  Also Supports 3.5mm Audio jack ✅  Unique 2-in-1 Detachable Plug  ✅  Lightweight & Portable 
 Supporting Systems:    💽 Windows   Mac OS 
 Applications: 👪 Video Conference 🎙️ Recording 📹 Live Streaming 🕹️ Gaming 👮 Video Security 📚 Distance/Online Learning 🗣️ Call Centre 🎧 Audio Headphone 
"
c9c4c3aa-db70-4bcc-8357-4bf97ed89f4b,headphone,7b1295a7-da41-4856-9f62-48121ce1c6a3,SonicGear Airphone 5 Bluetooth 5.0 Headphone | High Clarity | Strong Bass | Built-In Microphone,1,0,4.9,118,267,$25.90,478 pieces available,Favorite (268),,"Welcome to SonicGear Official Store where we strive to provide our customers an array of products that satisfy demand for quality and efficiency. Buy our products from Shopee Mall in a worry-free manner as we guarantee 100% authenticity. Shopping can't get any easier than this, so start today! 
 Package Contains: - Sonicgear Airphone 5 x1 - USB Charging Cable x1 - Line In Cable x1 - User Manual x1 
 Warranty Instructions:  - SonicGear 1 Years Limited Hardware Warranty - Register warranty at https://leapfroglobal.com/register - Product with no serial number provided, use Order ID on the platform for warranty claim purpose 
 Website: https://leapfroglobal.com/home/sonicgear		 Facebook: SonicGear YouTube: SonicGear #SonicGear #Headphone #Airphone5 #Bluetooth #Microphone #On-Ear"
62c5242d-5350-4f24-976d-7b0fc6554b90,headphone,9bb43343-23f7-4899-aa82-be5adb5b2e7b,Vocoal Over the Ear Headphone with Microphone Bluetooth Headset Wireless Headphone Bluetooth Headphones Foldable Bluetooth Gaming Headset with Mic Earphone Bass Noise Cancelling,1,0,4.8,147,308,$19.99,46 pieces available,Favorite (295),,"🌹 Vocoal Singapore Flagship Store: ✅ Brand: Vocoal ✅ 100% Stock Ready, Ship in 24 Hours ✅ Ship from Singapore, 2~5 Days Delivered ✅ 3 Months Local Supplier Warranty ✅ Vocoal☜ ☜ Click Store Link to Have More Products (Bags, Lights, Sunglasses, Toys etc.)❤❤❤ 
  💖 Product Description: ►NOISE Reduction: Significant noise reduction for travel, work and anywhere in between,makes you focus on what you want to hear,enjoy your music, movies and videos ►COMFORTABLE AND DURABLE: The Professional Protein Earpad is More durability and comfort, Enjoy high-quality, Long-listen comfort. Skin texture, lightweight comfortable around-ear fit you can wear all day long ►ULTRAL COMFORTABLE: Durable and soft earmuff makes a enjoyable feeling, 3D ergonomic design fits your ears better,gives you a comfortable experience all day long ►FOLDABLE DESIGN：Able to adjust and rotate to fit for different shapes of head to wear ,it can be folded into the size of a palm with the spindle design,convenient to store and carry 📦 Package Include:1 X headphone, 1 X USB cable, 1X Audio cable, 1 X User manual"
363c5275-c823-4331-ab39-bfdfe5242609,headphone,4a2c9a24-edce-4c14-8cb4-f2de78d9526f,【SG】ONIKUMA K19 K20 K5 K6 K8 K10 RGB LED Lights Gaming Headphones Headset with Microphone Wide Platform Compatibility,1,0,4.8,1.8k,4.7k,$19.90 - $34.90,46 pieces available,Favorite (2.2k),,"Spark Joy - Bringing you quality curated products from around the world --------------------------------------------------- 📍 Ship from Singapore warehouse   ★ All ready-stock products in Singapore ★ Fast Dispatch to SingPost/J&T Express/NinjaVan --------------------------------------------------- 
 🌟 Monday - Thursday 🌟 All Orders placed before 5 pm will be sent out via J&T/NinjaVan/SingPost the Next Day. 
 🌈 Friday - Sunday 🌈 All Orders will be sent out via J&T/NinjaVan/SingPost on the coming Monday. 
 🛑 SHIPPING OPTIONS 🛑 ◼ J&T Express (With Tracking) 
 🔎 Why choose the ONIKUMA Gaming Headset? 
 👍 【7.1 Surround Sound for Immersive Gaming Experience】The Gaming headphone brings 7.1 surrounding sound right into your ears. Offering a fantastic and shocking sound while you are gaming, which helps you catch your enemy before they find you. You can also hear the footstep and gunshot very clear in various game world. 👍【Professional Design for All Games】This gaming headset has thick ear cushions to take more consideration to your ears and provides passive noise isolation. Superior comfortable over-ear pads reduce hearing impairment and heat sweat. Adjustable headband can fit different size of the heads and soft comfortable head beam pad provides long lasting comfort; you will wear this gaming headset for hours but no need to take a break. 👍【Flexible Microphone for Easy and Clear Communication】This gaming headset has sensitive adjustable microphone. It easy to pick up your sound and chat to your fellow players with crystal clarity sound and enjoy a smooth team-work play. 👍【Cool and Colorful LED Light】Built-in LED light in the game headphone, the light is flashing and turning to different colors while plugging the USB cable. It makes the headset cool and fantastic. 👍【WIDE PLATFORM COMPATIBILITY】This gaming headset (PC Headset) with a 3.5mm audio jack is compatible with PC, PS4 controller, Xbox One controller, Nintendo Switch (audio), Nintendo New 3DS LL/3DS (audio), Nintendo 3DS LL/3DS (audio). 
 
 🔎 Specifications: - Speaker Size: 40mm - Sensitivity: 105~114+/-3db; - Impedance:32Ω+/-15%(K19/K20/K6/K8); 16Ω+/-15%(K5/K1B/K10) - Directionality: Omi-directional - Mic Impedance: 2.2k - Mic Sensitivity: -36~-42+/-3dB - Frequency Range: 15Hz-20KHz(K19); 20Hz-20KHz(OTHERS) - LED Working Voltage: DC5V+/-5% - Headset Jack: USB+3.5mm AUDIO (USB for LED light) - Cable Length: Around 2M~2.2M"
90abf5a5-0603-4b85-bc96-e247a4a4e031,headphone,299b0148-e796-45bd-b0b2-955e0cbd09a3,[SG Stock] Wireless Headset Bluetooth Headphone On-Ear Wireless Headphone HIFI Headset 5.0 Bluetooth Headset With Mic For PC/LAPTOP/Phone,1,0,4.8,139,266,$16.00,46 pieces available,Favorite (183),,"MODEL：H7 Wireless headset
CONNECTION ：V5.0 Version、TF card、AUX
CONNECTION DISTANCE:10—15 meters
BATTERY:400mAh
DURATION:16h(50% volume)
TRUMPET:Steel magnetic trumpet
FREQUENCY:20Hz—20KHz
CHARGING:Type—c

Features:
Long press the switchDouble-click to switchfunction mode
Three strikes to switch
between Chinese and Englishprompt tone
(Default English prompt tone)
Click to increase the volumeLong press the next song
Bluetooth mode: Click to pause playback
Call mode: Click to answer the call
Long press refuse toanswer
Double-click the call back
FM mode: Click Auto radio
Click to reduce volumeLong press the former song

H7 Headsetphones have 9D panoramic HIFI high-performance sound effects, you can enjoy full-hearted music playback when you put on the earphones, and devote yourself to the world of music. The good earmuff design makes your earphones painless to wear for a long time, and there are a variety of colors to choose from. , if you like this headset, don't hesitate to buy it now, you won't regret your choice!"
4718d2a4-f0a4-48cd-a0ce-e1b663bdba02,headphone,0b718f8c-5b9f-4090-a61c-a1a9a1712001,Singapore Wireless Bluetooth Headphone Super Bass Stereo Noise Cancelling Headphones with microphone Gaming Headset,1,0,4.8,255,593,$18.80,46 pieces available,Favorite (679),,"[SG Local Seller] - In stock fast shipment!
Receive in 2 to 3 working days

Product Details:
- Design With Mic, Volume Control, and On-Off Button
- Wireless Headphones Suitable For Online Class, Gaming, and Music
- Sensitivity: 98dB/mW 
- Impedance: 32 ohms
- Frequency Response: 10Hz – 24kHz 
- Connector Type: Bluetooth Connect
- Package Include: 1 x Headphone + 1 x Charging Cable


Extendable and lightweight design
Over-ear design isolates ambient noise for high clarity
The macaroon color design look more attractive
Soft earmuff design for comfort wearing
Padded leather ear cushion snug fit and enhanced noise blocking ability while gaming
Built-in microphone offers calling and communication function
Extra bass and hi-res audio sound quality
Wireless connect with Bluetooth function"
