username,min_dist_username
josephtiew,josephleehw
josephleehw,josephtiew
amiandawong,amandasoong
jonathantjx,jonathansim
jonathansim,jonathantjx
88calvin88,88kelvin_88
88kelvin_88,88calvin88
amandasoong,amiandawong
clairetanwx,eclairetan
missybeaute,missybebe
janicengmei,janicengwc
janicengwc,janicengmei
jasonlim413,jasonlim642
jasonlim642,jasonlim413
adrian.1981,adrian8128
muhammadg17,muhammadnas
fazirothman,anorothman
adrian8128,adrian.1981
adrianlimlh,adrianholh
muhammadnas,muhammadg17
afira_sofia,farah_sofia
summerjoysg,summerjes
summerjes,summerjoysg
missybebe,missybeaute
adrianholh,adrianlimlh
anorothman,fazirothman
nickfreedom,ifreedom
farah_sofia,afira_sofia
zarenothman,zamothman
chrissieong,chris92wong
elainetan3,elainexxtan
elainexxtan,elainetan3
azirudin09,azizuddin04
michael4289,michael9099
ingshyhlong,ngsaylong
chuakailing,chuaweiping
evelynleejy,evelynteecc
chuaweiping,chuakailing
evelynteecc,evelynleejy
sereneneo88,sereneseong
sereneseong,sereneneo88
sereneshtan,serenetan1
michellegxy,michellekm
michael9099,michael4289
michellekm,michellegxy
karinetankp,karinatanjx
karinatanjx,karinetankp
nurnazuhamohdsaufi,zurainamohdsaufi
zurainamohdsaufi,nurnazuhamohdsaufi
andygcw,andykcb
renhean,seohean
pongsakorn.lok,pongsakorntoey
pongsakorntoey,pongsakorn.lok
charlenealexis,charlenelee2
charlenelee2,charlenealexis
tan_s_c,janis_c
janis_c,tan_s_c
teck1,teeck01
anim_al,nimal
noraliza1976,noramalina1973
noramalina1973,norazlina2977
vincentchong18,vincent.heng
shanesh,sharzsh
teeck01,teck1
chenglq,hengsq
thanhhuyenle04,thanhtuyen308
thanhtuyen308,thanhhuyenle04
jacque,jacqlew
nimal,anim_al
jacqlew,jc_lew
norazlina2977,noramalina1973
vincent.heng,vincentchong18
syarnu,syarins
thiam03,thiam55
andykcb,andygcw
isahaza,izazaza
seohean,renhean
fitrimi,fadrimi
hysoon,koysoon
sekliew,suzliew
shawtyjungkook,awekjungkook
onexian,oneion
oneion,onexian
kelvinlimys23,kelvinramos273
koysoon,hysoon
kelvinramos273,kelvinlimys23
apetang,apphang
izazaza,isahaza
pumathi,yamathi
sharzsh,shanesh
suzliew,sekliew
jc_lew,jacqlew
awekjungkook,shawtyjungkook
angsc23,ngsy23
syarins,syarnu
fadrimi,fitrimi
apphang,apetang
hengsq,chenglq
thiam55,thiam03
michellekoaymy,michelleguam
chrome.,chromab
miiichi,miicii
william_cheong,williamchen77
ngsy23,angsc23
williamchen77,william_cheong
nalesza,naresfa
michelleguam,michellekoaymy
nat9lim,natesim
chromab,chrome.
muhdhilmi_25,mohdhilmi_9231
miicii,miiichi
mohdhilmi_9231,muhdhilmi_25
naresfa,nalesza
chongbx,chongyw
natesim,nat9lim
hoangquyen36,hoangquyet1234
hoangquyet1234,hoangquyen36
chongyw,chongbx
sharifhossain886,shamimhossain1989
nurhafizamdyusoff,norhanizayusof
shamimhossain1989,sharifhossain886
norhanizayusof,nurhafizamdyusoff
wheresaldo,theresalsr
shuting456,shutingang
ericwswong,xriswong
joycetan28,jocetan90
shutingang,shuting456
jessica619,jessicacxy
jessicacxy,jessica619
syahmira11,syamira94
michael372,michele76
akira1981,nakira1401
shidah_teh,shidah2k1h
siangsg,simonangsg
rachelllqu,rachelleow
rachelleow,rachelllqu
jeslyn512,jeslyn0521
jeslyn0521,jeslyn512
valerietwm,valerie991
jocetan90,joycetan28
yeelimhong,yeosiahong
jenieskhoo,genekhoo
weepeng80,sweemeng86
yanto.chai,yenmonchai
rachelkho_,rachelchf
sweemeng86,weepeng80
calvinngwm,galvinng81
calvinng97,alving7
nfarahin9,nrfarah_in
manfredfah,alfredtah
louislkc,louisleeky
atsrunchua,watsonchua
serenelcm,terencelzm
wantington,wanyingong
nrfarah_in,nfarahin9
valerie991,valerietwm
brandonzxc,brandonmf
wanyingong,wantington
jinweiii24,junwei24
missy.hong,misss_mong
alvinl8,alvinlin86
wawaaqilah,wanzalilah
alving7,calvinng97
nelsontzr,nelson.teo
michele76,michael372
watsonchua,atsrunchua
crystalio,crystalkek
tonytan59,tonytan.sg
alfredtah,manfredfah
francis619,franciskwj
nelson.teo,nelsontzr
ashgoh1984,pygoh1984
vanessatjh,vanessabat
misss_mong,missy.hong
dexlicious,rinlicious
jocelynckh,jocelynwc
franciskwj,francis619
jocelynwc,jocelynckh
crystalkek,crystalio
tonytan.sg,tonytan59
alexhong80,alexchong
alexchong,alexhong80
cubyliang,ruiyuliang
shidah2k1h,shidah_teh
galvinng81,calvinngwm
wanzalilah,wawaaqilah
jiayingnd,jiayingxyz
jiayingxyz,jiayingnd
pygoh1984,ashgoh1984
jiesheng99,lidsheng29
amandasxw,amanda_soh
vanessabat,vanessatjh
amanda_soh,amandasxw
danishhish,dvnishhh
yeosiahong,yeelimhong
kellyt2020,kellytoh21
keng_ong,senga_wong
eunice_nge,eunicengss
kellytoh21,kellyt2020
simonangsg,siangsg
eunicengss,eunice_nge
sooho.choo,boohoohoo
alvinlin86,alvinl8
rachelchf,rachelkho_
senga_wong,keng_ong
louisleeky,louislkc
winsonhao,winsonyeoh
terence830,terencethk
terence777,terencezou
justinafjx,justinasun
rinlicious,dexlicious
junwei24,jinweiii24
shamok1215,shamir115
shamir115,shamok1215
jaredfoo82,jarodfoo
graciechew,gracecje
terence_75,terenceyjs
jarodfoo,jaredfoo82
donaldong,donallydon
aceycheong,syewcheong
angel.yeo,angel.yaya
angel.yaya,angel.yeo
gracecje,graciechew
lidsheng29,jiesheng99
jasmineddd,jasminesmt
chelaxlang,cheahling
jasminesmt,jasmineddd
donallydon,donaldong
elishiatan,elishateo
elishateo,elishiatan
yenmonchai,yanto.chai
theresalsr,theresa78
theresa78,theresalsr
brandonmf,brandonzxc
moo_minnie,lok_winnie
sharonn88,sharonngsc
cherylyysf,cherylyn81
cherylyn81,cherylyysf
sharonngsc,sharonn88
jamesongsh,jasongst
daniel4510,daniel_400
xriswong,ericwswong
daniel_400,daniel4510
terenxem,terencelzm
terencezou,terence777
terenceyjs,terence_75
justinayeo,justinahk
terencethk,terence830
justinasun,justinafjx
terencelzm,terenxem
justinahk,justinayeo
justinagoh,justinafjx
dvnishhh,danishhish
juncheng01,junhengg_
junhengg_,juncheng01
syewcheong,aceycheong
marianaar,marina0mar
andrewwxz,andrewaw78
ruiyuliang,cubyliang
victorchee,victorghp
ratree1701,ratri1703
andrewaw78,andrewwxz
winsonyeoh,winsonhao
ratri1703,ratree1701
marina0mar,marianaar
kimchan_18,kimchangyi
cheahling,chelaxlang
victorghp,victorchee
jasongst,jasonzstan
raudah1990,raudah79
jasonzstan,jasongst
marktan99,marktan026
marktan026,marktan99
kimchangyi,kimchan_18
nakira1401,akira1981
boohoohoo,sooho.choo
raudah79,raudah1990
syamira94,syahmira11
lok_winnie,moo_minnie
thanamet.th,thanametthada
jackychen8808,rickychee888
nhidayahhalim,hidayahyasin
wongshiming,wongkeiming21
danishroslan,danishradzuan
hanashahrizal,zarashahriman
charlenebeh10,charleneneo
norhaziah75,noorhafizah65
lohchengsong,kohchoongyong
aloysiuscheok,aloysiuslooi
lawrence_wbf,lawrence_8594
hani.mustafa8,qadimmustafa
thanametthada,thanamet.th
ngjingxianggg,dingxiangng
lawrence_8594,lawrence_wbf
zarashahriman,hanashahrizal
aloysiuslooi,aloysiuscheok
noorhafizah65,norhaziah75
shirleyooi,shirleyhohoho
chrisvince11,christine1311
jonathanyeo31,jonathankhoo
aisyahrasidi,aiisyahrazali
tanisha040404,tanisha280488
tanisha280488,tanisha040404
wongkeiming21,wongshiming
adamhaykal250,adamhaiqal10
adamhaiqal10,adamhaykal250
hurairahhhhhh,sumayyahhhhhh
charleneneo,charlenebeh10
christinalew,christina1479
hidayahyasin,nhidayahhalim
christine1311,chrisvince11
kohchoongyong,lohchengsong
salamalatiff,lilianalatiff
