,username,no_review,review_list,no_product,product_dict,mean_rating
11621,leeweay,1,[nan],1,{'a508cc79-0d69-4a98-aa2c-03261dda2698': 1},2.0
11622,leewei2019,1,"['Ordered on 1/1 received on 4/1, fast delivery 🚚 \nQuality looks good!! But not try yet. \nWill purchase again.']",1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11623,leex0025,1,"['Best Feature(s): cheap and works well\nValue For Money: very!\nWorks well, comfortable typing. Received within a few days :)']",1,{'95b73f4a-1e51-4e4e-94f1-ad68c55889c2': 1},5.0
11624,leexinying,1,[nan],1,{'284914a9-6d45-4f4d-8fc3-7751a141dd4e': 1},5.0
11625,leeyarli,1,[nan],1,{'d48df05d-13f8-4ef1-b612-162f13e9860e': 1},5.0
11626,leeyeephen,1,[nan],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
11627,leeyein92,1,[nan],1,{'d79335f3-7e30-4907-b32e-b84d308b5902': 1},5.0
11628,leeyfvincent,1,['Performance: Excellent\nBest Feature(s): Excellent\nValue For Money: Definitely\nWhat I like is needed only one usb connecter for keyboard and mouse'],1,{'ce520951-35f9-4e51-a4cb-fd659ce4416f': 1},5.0
11629,leeyingshao,1,[nan],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11630,leeyunxin,1,['Fast delivery'],1,{'8e400235-9c07-4921-9ccf-884969d7e67f': 1},5.0
11631,leezhongyi,1,[nan],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11632,leeziyinnn,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11633,lefalsemirror,1,[nan],1,{'234ee2e0-83eb-4416-b21e-a5316fb18996': 1},5.0
11634,legeciesx,1,"['Product delivers without damages, cheap and good for a keyboard and mouse combo. Clicks for both keyboard and mouse are silent too, great for users who does not prefers noisy clicks. Recommended for any users, it also comes with a mouse pad of a decent quality. Hopefully it is durable to use.']",1,{'284914a9-6d45-4f4d-8fc3-7751a141dd4e': 1},4.0
11635,legendlor,1,"['Value For Money: so freaking worthi it, inderestimated volume of sound']",1,{'cbd4fe9d-1474-4653-9e63-9d8bd9233413': 1},5.0
11636,legion2005,1,[nan],1,{'1f06b4aa-18c7-4c2c-a94d-6ee16ea6b3e8': 1},4.0
11637,legionpunk,1,[nan],1,{'5d78f931-46f5-4090-8361-388f7cc6d4cd': 1},4.0
11638,lehaison23398,1,[nan],1,{'9bfe3373-1fef-4500-88ab-3a6a50137c25': 1},5.0
11639,lehchel,1,"['Mouse light flickers a little, but otherwise a good product for the price (:']",1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11640,leiayap353,1,['Performance: amazing\nBest Feature(s): love the colour\nValue For Money: good price especially when i could use a voucher and got this for $5\namazing product i love it!!'],1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
11641,leiayumi,1,"['actually v good, worth the money spent !!']",1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
11642,leilabutit,1,[nan],1,{'9bfe3373-1fef-4500-88ab-3a6a50137c25': 1},5.0
11643,lelahayari,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11644,lele326,1,"['Its really nice, received earlier than expected, really like the sound of the brown switches!']",1,{'1f06b4aa-18c7-4c2c-a94d-6ee16ea6b3e8': 1},5.0
11645,lemme_sleep,1,['Dope'],1,{'1f06b4aa-18c7-4c2c-a94d-6ee16ea6b3e8': 1},5.0
11646,lemonscorpion,1,['Son loves it! Thanks seller for the fast delivery;)'],1,{'ffd204e4-8711-489a-9ca6-0796527b776f': 1},5.0
11647,lenachohari,1,['Performance: good\nBest Feature(s): colourful\nValue For Money: yes'],1,{'8e400235-9c07-4921-9ccf-884969d7e67f': 1},5.0
11648,lenagoh55,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},4.0
11649,lenak_ll,1,"['It’s value for money, but hard to type on due to the space in between the keyboards. The CAPS lock is not functioning…']",1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},3.0
11650,lenalim25,1,[nan],1,{'ce520951-35f9-4e51-a4cb-fd659ce4416f': 1},4.0
11651,lenardan14,1,['Performance: Very good\nBest Feature(s): Very pretty\nValue For Money: quite\nBought as a gift for a 21 year old lady bday present. She love it'],1,{'53c540d3-be9a-4877-9c4b-5b6949d6ec43': 1},5.0
11652,lengmui12,1,[nan],1,{'cd1bc56d-87c6-4860-98b9-74e9ca2526a9': 1},5.0
11653,lenni2412,1,['Performance: satisfied\nValue For Money: good\nOverall very good and seller also very responsive'],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
11654,lenny210281,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11655,lennydavinchi,1,[nan],1,{'ed40d9af-e2c3-41a5-9efc-97168d74a651': 1},5.0
11656,lennytabari,1,['So far function OK. Nice. I like it.'],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11657,lenrekash,1,[nan],1,{'234ee2e0-83eb-4416-b21e-a5316fb18996': 1},4.0
11658,lens2010,1,['Pretty and nice sound. Love it. 💕'],1,{'4dba642d-d7be-409f-87b2-e21e1389a794': 1},5.0
11659,lenuslee,1,[nan],1,{'1f06b4aa-18c7-4c2c-a94d-6ee16ea6b3e8': 1},5.0
11660,leny_gatdyla29,1,[nan],1,{'b3a4e980-6e4e-4508-b341-056358af9b69': 1},3.0
11661,leo_here,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11662,leob92,1,['Product received in good condition - works perfectly with my MacBook air. Easy to setup the lighting.'],1,{'ffd204e4-8711-489a-9ca6-0796527b776f': 1},5.0
11663,leodonslim,1,['Performance: Not bad for it price.\nBest Feature(s): Light.\nValue For Money: Yea\nDelivery took sometime for local seller but it all good. Item found with a crack which likely be from the delivery or something else. The keys seems functional and all is good.'],1,{'284914a9-6d45-4f4d-8fc3-7751a141dd4e': 1},5.0
11664,leogal,1,"['1. Ordered on Sat/Sun, received the item on Tuesday night. \n\n2. Keyboard works well with my Dell Laptop\n\n3. Keyboard functions (shortcut) works the same in any Windows laptop']",1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
11665,leogeo,1,['Shipped out fast. Item was good. Not quiet though but it’s fine for me as it’s used at home. '],1,{'95b73f4a-1e51-4e4e-94f1-ad68c55889c2': 1},5.0
11666,leoie,1,['Silent keyboard. Best value for money with mouse!!thx seller'],1,{'284914a9-6d45-4f4d-8fc3-7751a141dd4e': 1},5.0
11667,leoleokk,1,[nan],1,{'9bfe3373-1fef-4500-88ab-3a6a50137c25': 1},5.0
11668,leomegc,1,['Performance: It works like you expect it to work\nBest Feature(s): No defects\nValue For Money: Worth\nBought this as an emergency keyboard and is a great buy'],1,{'a57f657c-b6af-4c7e-830d-3370ca561756': 1},5.0
11669,leon.yu,1,['Very beautiful and delivered in great condition. Looks amazing in the dark!'],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11670,leon1103a,1,[nan],1,{'df888b69-16e7-410a-b8ee-2f39479cc415': 1},5.0
11671,leona11_,1,[nan],1,{'b5271e82-df08-496b-a32b-f9bacd211b9a': 1},5.0
11672,leonardcheah,3,"['Performance: ok\nBest Feature(s): price\nValue For Money: yes\nQuick delivery\nLove the round keys and price. No issues with installation. Think it will work well', 'Performance: ok\nBest Feature(s): ok\nValue For Money: cheap\nGood full size keyboard to replace a work one', 'Performance: great\nBest Feature(s): ease\nValue For Money: yes\nBought this for a second time and absolutely love it.']",2,"{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1, '95b73f4a-1e51-4e4e-94f1-ad68c55889c2': 2}",5.0
11673,leonardddchua,1,[nan],1,{'3488e53a-046f-48a5-bccb-ee3acffc749a': 1},5.0
11674,leonardl_im,1,['Pretty wireless keyboard and mouse. Good price！'],1,{'8e400235-9c07-4921-9ccf-884969d7e67f': 1},5.0
11675,leonardt29,1,['Keyboard very light. Bottom not rubber.'],1,{'df888b69-16e7-410a-b8ee-2f39479cc415': 1},3.0
11676,leonchen1991,1,[nan],1,{'95b73f4a-1e51-4e4e-94f1-ad68c55889c2': 1},5.0
11677,leong840,1,[nan],1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
11678,leongguangxian,1,"['It looks nice, feels nice, sounds nice. But I am mildly annoyed at the inability to change the colour settings or even have more than 3 key inputs go through.']",1,{'1e677faa-f6e5-4475-b954-6d4f50411c1c': 1},5.0
11679,leonggzxc,1,[nan],1,{'d79335f3-7e30-4907-b32e-b84d308b5902': 1},5.0
11680,leongjw82,1,[nan],1,{'d19cf120-93e6-4f1c-89c2-2b18187139cb': 1},5.0
11681,leongkachun,1,[nan],1,{'1be323a9-4bd1-4bf4-8470-4af8e4133ddb': 1},5.0
11682,leongkat,1,"['Delivery timimg is ok,  very well pack with a few layer. But is very flat, have not try hope it works.']",1,{'6f57eed4-a7a1-4c01-8b43-2ddc489fdf68': 1},5.0
11683,leongkenny,1,['Performance: nice and neat\nBest Feature(s): works like mouse\nValue For Money: definitely works\nUse it for 1 weeks the keyboard was good'],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
11684,leongsiewlan,1,[nan],1,{'3811758c-4d35-4f3d-83a3-06a049bb202c': 1},5.0
11685,leongtay88,2,"['Nice keyboard. My wife love it. Thank you.', 'Nice keyboard. Good to type on. Thank you.']",2,"{'8e400235-9c07-4921-9ccf-884969d7e67f': 1, 'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1}",5.0
11686,leongtzekwang,1,[nan],1,{'b50a8377-208b-46f2-b12e-df166037a165': 1},5.0
11687,leongwengkin,1,['Fast delivery and received with good condition and thank you seller'],1,{'8f2d2018-fbd0-4aab-aca9-b0cb2bbdd840': 1},5.0
11688,leonlee13146617,1,[nan],1,{'3d5b8065-9ebf-42c6-9e1c-d7e403367331': 1},5.0
11689,leonleesiyuan,2,"[nan, nan]",2,"{'284914a9-6d45-4f4d-8fc3-7751a141dd4e': 1, 'df888b69-16e7-410a-b8ee-2f39479cc415': 1}",5.0
11690,leonsq,1,"['Item received in good condition, tested and everything worked as expected. Super fast delivery, very great service thank you!']",1,{'c705be11-b815-44a5-9001-5f949c89c587': 1},5.0
11691,leopohsh,1,"[""Performance: works but don't type fast like laptop\nBest Feature(s): bluetooth\nValue For Money: yes""]",1,{'6f57eed4-a7a1-4c01-8b43-2ddc489fdf68': 1},5.0
11692,leostar30,1,['Fast delivery. Tested it.. is good so far.'],1,{'c85e68dc-cd67-4947-a0ef-ed3e725d144d': 1},5.0
