,reviewee,reviewer,reviewer_identity,review_date,review_star,Amazing chat,review,Goes the extra mile,Knows their stuff,Unique listings,Easygoing buyer,Fast and decisive
40,jeankini,iamvanity15,buyer,2 years ago,5.0,0.0,Great seller! Smooth transaction. Thanks!,0.0,0.0,0.0,0.0,0.0
41,jeankini,bygboy,buyer,2 years ago,5.0,0.0,seller is very good and humble..,0.0,0.0,0.0,0.0,0.0
42,jeankini,indikoh,buyer,2 years ago,5.0,0.0,"Lovely seller! Prompt, accommodating and kind! Highly recommended!",1.0,0.0,0.0,0.0,0.0
43,jeankini,pinky_33,seller,2 years ago,5.0,0.0,fast and decisive buyer. 🤗👍,0.0,0.0,0.0,0.0,0.0
44,jeankini,halloween21,buyer,2 years ago,5.0,0.0,Very nice n accommodating seller! Thank u for the fast deal n hope to deal with u again,0.0,0.0,0.0,0.0,0.0
45,jeankini,marlyn29,buyer,2 years ago,5.0,0.0,the seller very nice and friendly,0.0,0.0,0.0,0.0,0.0
46,jeankini,kaikaipachi,buyer,2 years ago,5.0,0.0,Great seller to deal with fast reply,0.0,1.0,0.0,0.0,0.0
47,jeankini,passion197,buyer,2 years ago,5.0,0.0,Great seller to deal with. Accommodated to my request and very thoughtful too. Thank you!,1.0,0.0,0.0,0.0,0.0
48,jeankini,ensyse,buyer,2 years ago,5.0,1.0,"She was so nice to me.. she gave me all the details about the item that I purchased from here.. had an amazing chat with her as well. Awesome, Great, Cheerful.",0.0,0.0,0.0,0.0,0.0
49,jeankini,evonchhhh,buyer,2 years ago,5.0,0.0,Jean is definitely a friendly and warm seller. it was nice chatting with her. Stay bubbly and happy ! Thanks for the deal 😘🤗 Highly recommended seller 👍👍👍,0.0,0.0,0.0,0.0,0.0
50,jeankini,kieservida,buyer,2 years ago,5.0,0.0,The seller was very kind to give this high quality painting to me for free. Thanks so much! Will definitely recommend her to other buyers. 😄👍🏻👍🏻👍🏻,0.0,0.0,1.0,0.0,0.0
51,jeankini,rtcool,buyer,3 years ago,5.0,0.0,"excellent seller, item as it is, friendly , responsive !",0.0,0.0,0.0,0.0,0.0
52,jeankini,lorenz4,buyer,3 years ago,5.0,0.0,"Pleasant dealer, great product with beautiful packaging.",0.0,0.0,0.0,0.0,0.0
53,jeankini,gabestuff,buyer,3 years ago,5.0,0.0,Great seller to deal with!,0.0,0.0,0.0,0.0,0.0
54,jeankini,pearlygates,seller,4 years ago,5.0,0.0,Fast deal... sincere buyer... thanks,0.0,0.0,0.0,0.0,0.0
55,jeankini,affordable.deals,seller,4 years ago,5.0,0.0,Fuss free and friendly buyer! Hope to deal with you again!,0.0,0.0,0.0,0.0,0.0
56,jeankini,bestbestdeals88,seller,4 years ago,5.0,0.0,Great buyer to deal with...thankò,0.0,0.0,0.0,0.0,0.0
57,jeankini,ridinghigh,buyer,6 years ago,5.0,0.0,"Item in excellent condition, thank u!",0.0,0.0,0.0,0.0,0.0
58,jeankini,cookiemoonster,seller,6 years ago,5.0,0.0,Great buyer to deal with! Easy transaction and fast payment. Thank you!,0.0,0.0,0.0,0.0,0.0
59,jeankini,kidzlove,seller,6 years ago,5.0,0.0,"Great buyer to deal with! Speedy replies, hassle free and prompt transfer, thank u babe 😄",0.0,0.0,0.0,0.0,0.0
60,jeankini,cloud9n3r,seller,6 years ago,5.0,0.0,Thank you for shopping with Cloud9n3r! It's been a fast & hassle free transaction. Great buyer to deal with! Look forwards to dealing with you again...,0.0,0.0,0.0,0.0,0.0
61,jeankini,onestopfitsall,seller,6 years ago,5.0,0.0,Flexible buyer who made it a pleasant transaction. Hope the item will be placed to good use! 😊,0.0,0.0,0.0,0.0,0.0
62,jeankini,habswags,seller,6 years ago,5.0,0.0,Sincere and fuss free buyer. Great to transact with. Wonderful to hear that your son loves the figurine lots!👍🏼,0.0,0.0,0.0,0.0,0.0
63,jeankini,yvonne1486,seller,6 years ago,5.0,0.0,Great buyer to deal with! Pleasant transaction!,0.0,0.0,0.0,0.0,0.0
64,jeankini,jessie.kou,seller,6 years ago,5.0,0.0,Fast deal & Easy to deal w buyer.,0.0,0.0,0.0,0.0,0.0
65,jeankini,batjebat,buyer,6 years ago,5.0,0.0,Great seller to deal with!! Friendly and Speedy replies!! Thank you so much 😁,0.0,0.0,0.0,0.0,0.0
66,jeankini,cvdwoodsen,buyer,6 years ago,5.0,0.0,Great seller. Prom and swift deal. Will recommend seller :),0.0,0.0,0.0,0.0,0.0
67,jeankini,cookiemoonster,seller,7 years ago,5.0,0.0,Great buyer to deal with! Easy transaction. Thank you!,0.0,0.0,0.0,0.0,0.0
68,jeankini,kickstrike,buyer,7 years ago,5.0,0.0,Great seller to deal with! Really friendly and thoughtful! Overall a very pleasant deal! Thank you!!,0.0,0.0,0.0,0.0,0.0
69,jeankini,dante84,buyer,7 years ago,5.0,0.0,Great seller to deal with! Speedy replies,0.0,0.0,0.0,0.0,0.0
70,jeankini,ctancj,seller,7 years ago,5.0,0.0,Hazzle free and prompt payment. 🖒,0.0,0.0,0.0,0.0,0.0
71,jeankini,prioritytututu,seller,7 years ago,5.0,0.0,Great buyer to deal with! Punctual! Pleasant transaction!,0.0,0.0,0.0,0.0,0.0
72,jeankini,isabellel,buyer,7 years ago,5.0,0.0,"Item in great condition, seller was v nice and accommodating, prompt reply . Hope to deal again . Thanks!",0.0,0.0,0.0,0.0,0.0
73,jeankini,headachehousewife,buyer,7 years ago,5.0,0.0,Very nice seller with speedy replies. Pleasant transaction! Thank you!,0.0,0.0,0.0,0.0,0.0
74,jeankini,daphieley,buyer,7 years ago,5.0,0.0,"Item delivered as described, the little extras was much appreciated!",0.0,0.0,0.0,0.0,0.0
75,jeankini,cyn.tenshi.9,buyer,7 years ago,5.0,0.0,Prompt delivery! Item delivered as described. Thank you!,0.0,0.0,0.0,0.0,0.0
76,jeankini,iceky,buyer,7 years ago,5.0,0.0,Great seller to deal with!,0.0,0.0,0.0,0.0,0.0
77,jeankini,Nur.uLash,buyer,7 years ago,5.0,0.0,Fast deliver of item and fuss free! thank u :),0.0,0.0,0.0,0.0,0.0
78,jeankini,totoro1010,buyer,7 years ago,5.0,0.0,Smooth transaction. Fast response. Nice seller to deal with.,0.0,0.0,0.0,0.0,0.0
79,jeankini,mrjosh,buyer,7 years ago,5.0,0.0,Great seller with fast deal :),0.0,0.0,0.0,0.0,0.0
