merchant_id,name,Ratings,response rate,joined,products,response time,follower
814b9f15-dacf-4a5b-92ee-6117a7174df5,TheOne.OnlyGenuine.sg,528,85%,30 months ago,285,within hours,1.6k
c2327796-1f0d-4a99-a3f5-7f1df74c4c9d,TheOne.OnlyGenuine.sg,528,85%,30 months ago,285,within hours,1.6k
b1d43832-8c8f-4f64-96d6-16e9679fa256,HOME furniture.sg,4,84%,2 months ago,68,within minutes,11
0efdf0ae-5020-4ba9-964d-40edb6ba3c41,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
eac9e508-4207-4e40-a3c0-bfd788816cd5,Online Singapore,13.7k,98%,4 years ago,75,within minutes,11.7k
7bfcaaa1-b702-4d4b-bf7d-81867661cfd5,amazingrew.sg,592,57%,5 years ago,103,within minutes,217
0051bb50-797a-4972-a30d-b0e721d5e013,Ministry of Powerbank,10.3k,81%,3 years ago,367,within hours,4.6k
fd435c0d-d10a-4b83-9073-98f7411d44cc,Heng Tech,799,44%,23 months ago,67,within hours,700
01ab049c-a0d1-4c0d-87ab-fffd25e58fc6,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
31c8d47d-d3f9-4f46-a14c-c33917b224ef,Cantik Butterfly,7.1k,78%,7 years ago,144,within hours,7.6k
d2226b43-303f-4cd6-aadd-30fe9539bdbd,Phone External Storage Pendrive,3.8k,96%,4 years ago,280,within hours,1.1k
fa1af9a5-87b3-4e9c-8502-d43fa59aec31,Remax Official Store,10.8k,72%,4 years ago,185,within hours,14.2k
8d5d2308-bb51-42b2-9664-c2ec1c012610,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
68e951ae-f401-410d-a852-d51250ec98c9,Warm Station,804.8k,100%,6 years ago,9.8k,within minutes,90.3k
069da294-b7b7-4424-bef8-61b5ed3df8fc,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
569b2dff-1680-4f40-98cd-e26d6bf932a3,Avanzars.sg,37,93%,3 months ago,6,within hours,21
3c9238ab-de77-450e-ac63-2bf0d7d3320c,LenCn LivePods Store,517,86%,26 months ago,27,within minutes,168
1a45cb63-58cf-4c50-8b5b-523f15db44fa,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
7393f4e8-e70e-4b7c-9b7a-70d305a4f001,Kebidumeilife Store,11.6k,32%,6 years ago,603,within hours,5.7k
4f364f4d-7eb8-433e-8bf1-1435c52a4656,Kebidumeilife Store,11.6k,32%,6 years ago,603,within hours,5.7k
8da12821-f6c4-4eaa-88f6-9629bb44c9a1,Special new item shop,323,66%,34 months ago,472,within hours,364
b672b74b-a7d1-4c42-9eeb-e07affbcd519,openmall.sg,19.1k,100%,6 years ago,1.6k,within minutes,2.7k
adc54fad-204d-4fe4-888c-dea66a5b9096,goodia1.sg,8.7k,100%,3 years ago,373,within minutes,1.6k
bd57311e-3ebf-4a19-8297-0f22d73d7842,Yoga-occkic6.sg,1k,100%,3 years ago,214,within hours,458
a3457b72-6817-4c07-81b1-bac6c2372e4a,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
f7c7183e-c8c0-4f4f-83ab-46b8e15c98e5,Divoom Singapore Official Store,371,76%,22 months ago,14,within hours,1.6k
26882d5b-e452-4675-820f-d01e0f2c359d,𝐕𝐅 VINNFIER OFFICIAL STORE SG,416,68%,26 months ago,68,within hours,1.1k
affe5512-333f-4dfa-a8cc-53e2887be2d0,greensea.sg,3.9k,68%,5 years ago,990,within hours,798
bd3982f6-7b50-407b-b2f0-1a9ebe034fdd,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
edb56acd-f5cb-416b-b041-8b9ce5baccba,EASTCODE-SG,2.3k,63%,30 months ago,67,within hours,2k
edefa953-275e-4a9b-b561-50428b8c9d5c,Remax Official Store,10.8k,72%,4 years ago,185,within hours,14.2k
0e07426d-be5b-4bf3-bf54-54c16e04e5d9,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
a97f66e8-f3da-4dc5-b3c3-65eb0b0bb6fb,Isabelle010,570,98%,31 months ago,98,within hours,363
a261054d-23f4-4ef9-bf1e-4a437f6b3069,Sprint-Cass,5k,46%,4 years ago,835,within hours,6.5k
bdfa904c-6368-4af8-84aa-a58a055be4a0,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
ab94f963-2afe-4a69-8f8a-734ad0242142,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
ceb00616-3542-43eb-903d-543bafd6fc6e,booboom Cycling,3.9k,42%,4 years ago,994,within hours,1k
d9bf22f3-69bf-48e7-a356-b3877fede9e4,Dreambest.sg,4,82%,3 months ago,43,within hours,2
f51650d8-5419-4145-a88c-6e5007a60a6b,Creative Official Store,6.1k,98%,23 months ago,39,within hours,3.8k
1f9e2bce-4b09-421d-b3ba-ca90cfea55bc,Life Electronics shop,124,84%,16 months ago,36,within minutes,64
a0e26235-0b9b-445e-83bb-f1a5226f042e,heimi26.sg,13.3k,89%,4 years ago,138,within hours,3.1k
cfc63880-5b9a-4dc6-903a-cbaaf51e422d,Shun Star.sg,14.2k,58%,34 months ago,145,within hours,4.8k
c8c9661c-f66a-4b30-b962-89d517970a82,vixi2020.sg,2.9k,17%,3 years ago,50,within minutes,517
392208ac-9cbb-4984-8bbc-237ec2da0a08,The101deals,36.3k,77%,5 years ago,96,within hours,3.9k
c03169f2-3780-44a0-9d70-ee06d022ddb7,MixGear,1.3k,73%,21 months ago,323,within hours,121
9ce7ac95-0cd9-436c-bf26-b9c59ba780b5,fortuned.sg,603,100%,31 months ago,72,within minutes,252
912fa88d-4ab7-4480-b52b-ecd18860ea37,Life Electronics shop,124,84%,16 months ago,36,within minutes,64
8d7f90f2-05b5-4ab9-ae3b-e2d798c56e1d,SVIP_SG,11.4k,68%,5 years ago,76,within hours,2.8k
1d73dc83-e503-4841-bfd5-fb689c8a8d3e,Techwave.sg,3k,49%,30 months ago,54,within hours,2.2k
e786f7a9-445f-4ef5-ad8c-71e5e0af234a,Upowee.sg,3.7k,54%,4 years ago,24,within hours,1.3k
83eced03-a6af-4e13-b298-f82eb732ecfb,EASTCODE-SG,2.3k,63%,30 months ago,67,within hours,2k
4e649ce1-f4f6-4339-a50d-cdf03ea1be94,JBL Official Store,29.1k,66%,5 years ago,234,within hours,91.3k
6242ef4e-dc77-4855-85dc-52393195ee0c,minisq,1.6k,74%,7 years ago,2.8k,within hours,3.6k
e15b79bb-3025-407b-abac-80e62596bc6d,IN-BOX,24.2k,97%,8 years ago,366,within hours,11.5k
5c61b61f-8c03-4844-9136-b554b0a958a5,Life Electronics shop,124,84%,16 months ago,36,within minutes,64
3ef7d116-018a-4103-b089-be0a97ca0d2b,Life Electronics shop,124,84%,16 months ago,36,within minutes,64
8d519baf-42aa-43a4-a29c-bb9e2df12182,Vention Official Store,124.1k,100%,5 years ago,412,within minutes,44.6k
07b010d6-9582-4b5d-9b77-fe2f02ecda63,1STSHOP,9.5k,91%,8 years ago,538,within hours,4.7k
b2ee14a4-c83d-4704-aeed-1d705842e64c,TheOne.OnlyGenuine.sg,528,85%,30 months ago,285,within hours,1.6k
358eafab-6a5f-4a70-a4f1-7e4e7c90c4e0,Emrys Home SG,476,99%,12 months ago,21,within hours,404
8c004df6-797d-43ce-9fb5-bf07ed255d8c,Aukey Official Store,25.4k,99%,5 years ago,190,within hours,47.7k
def85fb4-073d-4b68-b22e-5dc4cf2f0521,whaletool,12.4k,99%,4 years ago,1.2k,within hours,4.2k
752d2256-c877-4b19-aac5-e543d94da474,Emrys Home SG,476,99%,12 months ago,21,within hours,404
323ddba1-055b-440c-866f-76a598b7e62d,Life Electronics shop,124,84%,16 months ago,36,within minutes,64
3b0e4178-db8e-442d-b58b-40ed76072090,Vention Official Store,124.1k,100%,5 years ago,412,within minutes,44.6k
