,username,no_review,review_list,no_product,product_dict,mean_rating
628,fatinsyazwanishaharudin,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
629,fawaaz223,1,[nan],1,{'e7f7d678-ca55-4744-ae4d-eda7192276fc': 1},5.0
630,fawahhhhh,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
631,fayea,1,['EXCELLENT!'],1,{'50048ea8-74e6-4d3f-ac5b-375a53363048': 1},5.0
632,fazali72,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
633,fazarni78,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
634,fazlan0117,1,['Very fast delivery and very nice packaging and just what I wanted'],1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
635,fazrinhusna97,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
636,fcy6sdb6io,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
637,felifeli,1,"['Performance: good\nBest Feature(s): colour\nValue For Money: good\nThe color of this wireless headphone is nice and beautiful, it fits my ear well.']",1,{'b4d5273a-b83c-430d-be43-083a2b2a0e33': 1},5.0
638,fiiiidd,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
639,fikri4466,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
640,fikrizahrin94,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
641,fikryadam674,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
642,fikx7559,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
643,firdausaisya,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
644,firdausawi94,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},4.0
645,firdausjet,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
646,fishagumball,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
647,fitrahhadip,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
648,fitrikepayan__,1,['Quality: goos\nGood gilerr not slow delivery'],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
649,fnjac2a16j,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},3.0
650,fooyuki,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
651,francesyap7887,1,[nan],1,{'e7f7d678-ca55-4744-ae4d-eda7192276fc': 1},5.0
652,frasanama789,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
653,frdhizzani._,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
654,frnqlh_,1,[nan],1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 1},5.0
655,frostiemaki,1,['Very comfortable headphone.'],1,{'b3bf5729-00c2-47b3-bea0-04e7e65c3680': 1},5.0
656,ftinnadieyah,2,"[nan, nan]",1,{'06c08160-b2f3-46a9-b4eb-a5b5ac1cad10': 2},5.0
