,username,no_review,review_list,no_product,product_dict,mean_rating
8543,noosafar,1,['Item came in good condition and was as described in the post. Seller was prompt with replies and after sales follow up. Overall good quality of product and service. Will return to patronise.'],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8544,nopinazrul1,1,[nan],1,{'3a9b10be-4654-4cfb-8ba4-c801ea77f559': 1},5.0
8545,nora_ali,1,"[""Fast delivery! Bought this as a gift. Tried and tested first to make sure that it's working. It's working well and sound is loud. Bass is good. Thanks seller!""]",1,{'73f22008-7d4f-4ee1-a8c7-94c74b3292b5': 1},5.0
8546,nora_mansor,2,"[nan, nan]",1,{'fa5550a0-8bd0-4342-a5a5-7a1d32560742': 2},5.0
8547,noraalmunawar,1,[nan],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8548,norabernal369,1,['The sound is ok.value for money.'],1,{'8ce02988-3b99-480d-8295-670643e5cf3b': 1},3.0
8549,norahassan1988,1,[nan],1,{'2816c765-ece6-4092-a6eb-87a1a9246682': 1},5.0
8550,norali69,1,[nan],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8551,norariana,1,[nan],1,{'0a7bb5c9-9d34-4c76-b51e-7d04e9de028e': 1},5.0
8552,norashah7579,1,['Nil'],1,{'ea1fd32f-98f3-497e-9270-0d1198eda057': 1},5.0
8553,norayappy,1,['Good quality products from Xiaomi as expected. Nice mini Bluetooth speaker with decent sound quality. Fast shipping and delivery '],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8554,norayus4ever,1,['Items received in good order. Good sound for a small speaker.'],1,{'fa5550a0-8bd0-4342-a5a5-7a1d32560742': 1},5.0
8555,norazharlokman,1,['Good item!!! Easy to use and affordable.'],1,{'746d5a0b-a354-4e30-8b0e-2a9070722840': 1},5.0
8556,nordinsemin,1,[nan],1,{'7c188694-05dc-4f80-a905-c368df3abae2': 1},5.0
8557,noreelim,1,['Value For Money: ✔️\nPerformance: ok'],1,{'189d2d31-6bf7-4db2-ab25-b78143391085': 1},5.0
8558,norfadz,1,[nan],1,{'33fcb712-6784-4c38-958c-a182d43b5f9d': 1},5.0
8559,norhaszhan,1,['Performance: good\nBest Feature(s): good\nValue For Money: good\nSound good for me.'],1,{'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1},5.0
8560,noriman994,1,"[""For a small speaker it's pretty loud, not bad at all very happy with my purchase!!!""]",1,{'325e903d-0d31-4fad-99a2-0a3a9656df0b': 1},5.0
8561,norizan_noor,1,[nan],1,{'ebe3f747-1ab9-4650-beb6-b6949e44d61d': 1},4.0
8562,norizanmama,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8563,norizieza,1,['I am so in love with the color. Fast delivery!!! Item received as picture. Thank you 😊 '],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8564,norjan2302,1,[nan],1,{'0a7bb5c9-9d34-4c76-b51e-7d04e9de028e': 1},5.0
8565,norliakay,1,['Item well received  '],1,{'ea1fd32f-98f3-497e-9270-0d1198eda057': 1},5.0
8566,norlizah_amad,1,[nan],1,{'a4bc7bda-1d88-4ad0-805a-317b82c9a680': 1},5.0
8567,normanio,1,['The sound bar and head set were tested out good and base is reasonable good when hearing music from my pc.'],1,{'87ea43cc-b061-4bd9-b495-ff9cd3a5658c': 1},5.0
8568,normansck,1,"['Performance: yes\nBest Feature(s): aesthetic\nValue For Money: definitely\nBeen wanting to get this stunning speakers since I laid my eyes on it 2 years ago. It’s still pleasing to look at and, sounds beautiful too for my ears. The bass is great with complimenting clear trebles. Fuss free player I must say:) plug and go']",1,{'bc0c47f7-b0bd-4cd4-8e04-5d86874f8684': 1},5.0
8569,normanwong78,1,[nan],1,{'03123f5a-2719-40cd-b5ec-d78f6e1c2e84': 1},5.0
8570,normarid,1,['Performance: sounds is gd\nBest Feature(s): the sound n quality\nValue For Money: yes definitely\nWorth buying n nv disappoint us.'],1,{'87ea43cc-b061-4bd9-b495-ff9cd3a5658c': 1},5.0
8571,nornathra,1,[nan],1,{'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1},5.0
8572,norsabariayusope,1,[nan],1,{'44a041f1-24d2-4e81-b1e1-44fcdc41ef19': 1},5.0
8573,norsakinamdali,1,['The radio come with box. Very fast deliver. Radio function well. Thank you seller.'],1,{'ea1fd32f-98f3-497e-9270-0d1198eda057': 1},5.0
8574,nosniv,1,['Very handy and compact. Good volume for its size but not much louder than the speakers of your mobile phone. Good to tamper expectations a little.'],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},4.0
8575,notyourbrendaa,1,['came in a big box but good buy ! authentic and fast shipping too ! '],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8576,noura.safiyyah,1,['Item came un good condition and it works wonderfully. Ma sha Allah! Highly recommended'],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8577,nourlynn,1,['Hi received my items. Thanks'],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8578,nov18nick,1,[nan],1,{'ea1fd32f-98f3-497e-9270-0d1198eda057': 1},5.0
8579,nova8144,1,['Connects easily and is quite loud! Great price for sure. Highly recommended'],1,{'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1},5.0
8580,novaharyantiivirgo,1,[nan],1,{'e76f5b26-b627-41e9-a2bd-efe5c54549ea': 1},5.0
8581,novanyisheng,1,[nan],1,{'33fcb712-6784-4c38-958c-a182d43b5f9d': 1},5.0
8582,novnick,1,['Great speaker for my bike ride. No regrets.'],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8583,nowonderr,1,[nan],1,{'ebe3f747-1ab9-4650-beb6-b6949e44d61d': 1},5.0
8584,noxious08,1,[nan],1,{'44a041f1-24d2-4e81-b1e1-44fcdc41ef19': 1},5.0
8585,nprk3idma6,1,[nan],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8586,npw493fch0,2,"[nan, nan]",1,{'e6f6a937-76c3-4f91-b098-5c523b7f9df5': 2},4.0
8587,nqotkjdsevsnzk382_qmmlo3s4ih,1,"['Item received. Compact speakers, value for money. Need to connect both jack and USB into notebook. Else it will not work']",1,{'ebe3f747-1ab9-4650-beb6-b6949e44d61d': 1},5.0
8588,nqyvps4sm1,1,[nan],1,{'15284395-8b41-40e5-b61a-efb1dafd6460': 1},5.0
8589,nrafka.adam,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8590,nramlnhmd,1,[nan],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8591,nrefteus,1,[nan],1,{'84efd2d2-c99e-43c9-b4ee-b78d94763282': 1},5.0
8592,nrfth,1,[nan],1,{'fa5550a0-8bd0-4342-a5a5-7a1d32560742': 1},5.0
8593,nridzyaakob,1,[nan],1,{'87ea43cc-b061-4bd9-b495-ff9cd3a5658c': 1},5.0
8594,nrk72d15fr,1,['Package received good condition and sounds good 👍'],1,{'ea1fd32f-98f3-497e-9270-0d1198eda057': 1},5.0
8595,nrknisa00,2,"[nan, nan]",1,{'a795e313-77cb-4906-beb5-35788e1d119e': 2},5.0
8596,nrlafiqahjmil,1,['Delivery was fast. Need to charge first. Can charge while listening too. Sound is loud n clear. Easy to figure out yourself no need look at the chinese manual. \nCharged whole night but cannot switch on when I unplug. Then wht is the rechargeable battery for? '],1,{'ea1fd32f-98f3-497e-9270-0d1198eda057': 1},3.0
8597,nrshh.rh,1,[nan],1,{'cc032648-9178-4f1c-a2da-f57c4a7d1b72': 1},5.0
8598,nrsyfqhmstrh,1,[nan],1,{'a795e313-77cb-4906-beb5-35788e1d119e': 1},5.0
8599,nrxebme_,1,[nan],1,{'8ce02988-3b99-480d-8295-670643e5cf3b': 1},5.0
8600,nsa.collections,1,['Love it item delivered as described\nFast delivery on time 😍😍'],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8601,nsenthilkumar,1,[nan],1,{'9dd713c9-8a8e-4e1b-8b91-b854c8b15e23': 1},5.0
8602,nsr666,1,[nan],1,{'73f22008-7d4f-4ee1-a8c7-94c74b3292b5': 1},5.0
8603,nsvyasft4fq1e37j6_svj1cr52vi,1,['Item received in good conditions'],1,{'33fcb712-6784-4c38-958c-a182d43b5f9d': 1},5.0
8604,nsyafiqahra,1,"['Item received in good condition, wrapped nicely and totally love the sound of it.. The bass and volume perfect :)']",1,{'cc032648-9178-4f1c-a2da-f57c4a7d1b72': 1},5.0
8605,nt9xc794p5,1,['The price for the speaker is consider reasonable. Hope it can last. Thank you.'],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8606,nthlast,1,['Cheap and the bass is good. Super worth it for the price'],1,{'96857c25-2f58-4396-b635-73ffadd1d942': 1},5.0
8607,ntwjvortexowo,1,[nan],1,{'f8bc4389-b7dc-48a4-ba43-b0dc63a2cdcd': 1},5.0
8608,nu83j88uby,1,[nan],1,{'87ea43cc-b061-4bd9-b495-ff9cd3a5658c': 1},4.0
8609,nubidi,1,[nan],1,{'caae034c-ba60-4103-820f-78a880f809b9': 1},5.0
8610,nuchlepong,1,['Received'],1,{'cb316a82-9106-466d-8928-985feddecc04': 1},5.0
8611,nuclear_martini,1,['Wow so tiny yet so loud with good sound output!'],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8612,nugeshn,1,[nan],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8613,nur_atiq93,1,"['Box packaging damaged but item is okay, no scratches or dents.\nLightweight, sound quality is okay. Easy to use.']",1,{'9958c499-9833-432d-bcca-efea07f59629': 1},4.0
8614,nur_insyirah_banu,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8615,nur_rahiimm,1,[nan],1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8616,nura45,1,"['Very happy with my purchase.. original product, ']",1,{'78b831e8-12cb-488a-a5af-32de367613ea': 1},5.0
8617,nurafiq36,1,[nan],1,{'f8bc4389-b7dc-48a4-ba43-b0dc63a2cdcd': 1},5.0
8618,nuraini.hp,1,[nan],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8619,nurainsofiya2111,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},5.0
8620,nuramirah302,1,[nan],1,{'8a674261-ee5d-4172-8e61-dade35fc8729': 1},4.0
8621,nuraneesha,1,['Received in about a week!! Thank you seller!! Will buy again for sure :)'],1,{'9958c499-9833-432d-bcca-efea07f59629': 1},5.0
8622,nuraqif96,1,[nan],1,{'03123f5a-2719-40cd-b5ec-d78f6e1c2e84': 1},5.0
8623,nurasyakirin,1,['Performance: very satisfying\nValue For Money: yes\nThe volume very satisfying'],1,{'f9016cd2-b682-4cc7-94df-55d2986b3d3a': 1},5.0
